xcar,vcar,acar,xped,vped,aped
60.49635478,14.77835,1.59807,11.40179755,1.93834,0.03324
27.62195683,12.27229,-0.75736,11.22910679,2.72494,-0.43184
60.72335707,12.81563,1.37438,15.97566252,4.0208,1.24785
63.11094501,12.81563,1.37438,18.80924315,2.30305,2.53393
25.4445974,9.02811,0.54088,9.507144545,1.06567,-0.18389
61.60841542,13.82433,1.87615,17.89633963,3.23907,0.26945
93.69346027,15.38066,1.16788,11.90186307,1.48327,-0.06913
95.01363468,15.38066,1.16788,18.5142663,1.43623,0.12555
95.24197872,15.38066,1.16788,14.610493,1.50341,0.32162
92.8544947,15.59346,0.72592,10.50092507,1.29586,0.02626
93.23078548,15.38066,1.16788,14.98355474,2.43257,-0.70468
33.38960979,6.18916,-0.17082,12.38041816,1.36795,-0.02636
33.87655536,6.22803,-0.0732,12.5177926,1.37938,-0.06722
44.95578036,13.47733,-0.03677,9.994849235,1.43293,0.10941
72.35615621,13.22196,3.21715,3.873779409,0.87393,-0.24015
70.55833531,13.22196,3.21715,7.235792713,1.36517,0.05825
63.93661562,10.75856,1.98511,3.802414185,0.38056,-0.36773
65.06073342,10.75856,1.98511,4.241771163,1.10391,-0.65214
63.97670089,17.04861,1.94184,5.596062302,-0.10249,-0.00471
65.68602948,17.04861,1.94184,5.733397985,0.00265,0.0733
64.83885471,17.1025,1.85306,5.326688147,0.15201,-0.21415
66.63622503,17.1025,1.85306,5.813997949,-0.01492,0.05079
37.32827665,10.93323,0.77124,12.95418915,1.29123,-0.01799
80.34802645,13.44489,0.03477,6.425195725,1.17182,-0.17488
80.87023449,13.44489,0.03477,6.67005386,1.32739,-0.26431
38.54847126,12.34528,0.72479,3.533079465,0.52477,-0.23545
37.70856442,12.34528,0.72479,4.543245183,0.84056,-0.4759
59.0028048,17.86652,0.87205,11.57489592,1.55658,0.00721
65.90656471,14.29061,0.0782,8.010459987,1.31966,-0.14648
61.4712958,16.57908,1.63031,8.041875375,1.37714,-0.14231
66.19140928,13.03658,1.24953,7.252523197,0.18107,-0.4921
62.79014244,13.76807,1.3946,7.604817125,1.34258,-0.20555
62.84328797,14.22247,1.35329,4.216989269,0.01743,0.00525
24.00926176,7.93454,0.68313,13.46365088,1.8547,-0.02579
61.99487934,12.04233,1.37065,6.820724831,0.01814,-0.041
62.58763466,11.71293,1.41316,6.877618893,-0.02978,0.05907
62.63601161,15.92656,1.4832,6.874159494,-0.00643,0.00873
29.11184995,9.67966,0.86811,12.59574411,1.63896,0.04475
86.67604705,14.07345,1.55998,6.967410555,1.3063,-0.22272
48.99234234,13.46994,-0.17256,4.885156599,0.72911,-0.13486
61.18529519,14.51046,1.46012,9.777015963,1.3994,0.05581
57.65723214,14.56694,1.15037,6.278328271,0.04857,-0.3162
47.63361607,10.7412,1.40623,2.963661607,0.01592,0.0161
20.47957881,0.87854,1.58923,11.48866686,1.25591,-0.02558
16.95328425,0.291,0.564,11.24658579,1.52443,0.06713
25.58509652,8.99791,-2.1487,10.03843348,1.61729,-0.31715
42.19897341,11.99535,1.5901,7.925373617,0.76609,0.0832
43.08440632,12.49512,1.94375,4.165352673,0.89475,-0.58039
20.08453389,4.58522,-0.13989,2.556974136,0.27884,-0.50194
42.4875454,9.46317,-0.51885,7.422942433,1.3415,-0.3321
51.94959823,11.36853,1.48664,6.507144553,1.32264,-0.04489
31.5098704,4.7545,1.52473,7.452570998,1.1014,-0.32512
46.39512434,10.61782,1.26272,3.603602465,-0.01561,-0.03027
13.1614713,2.77881,-1.18608,5.644161019,1.10087,-0.23976
21.78686472,7.00267,-1.23865,11.57481531,1.61345,-0.06986
31.40545776,9.57234,0.26512,6.938395872,1.21721,-0.01204
17.90413549,1.49341,0.02112,9.516743188,0.75724,-0.06331
25.15063267,8.19505,0.31857,9.037795245,1.10107,-0.00979
25.07293817,9.64912,0.25077,6.091635574,0.7307,-0.39518
33.78842493,6.41631,-1.35502,9.440282424,1.41042,-0.04945
23.46653327,7.16807,0.69697,5.267852513,-0.00807,0.00235
23.23932555,6.76531,0.65132,5.020426792,-0.02498,-0.00689
22.79203184,6.67206,0.43217,4.883539382,-0.01379,0.01968
17.98718507,1.47707,0.83348,11.6510712,1.64757,0.08443
32.27304366,6.65873,-2.14493,10.89120237,1.17836,-0.14173
30.64830311,10.56194,0.15828,12.71367439,1.45096,0.06573
31.47129934,10.56194,0.15828,15.03059533,1.44723,0.06317
22.68633216,5.98154,1.35595,17.15424146,1.3942,-0.12421
21.15112882,3.04099,-0.75563,12.27587525,1.2941,0.11698
32.89564564,7.09938,0.45855,15.33313348,1.56235,-0.05094
26.35589965,3.61148,0.23318,6.477257942,1.5853,-0.03466
29.20375686,9.9646,0.69969,10.11303603,1.25975,-0.0883
29.80169389,9.9646,0.69969,10.90565036,1.41338,-0.07407
29.62430656,7.70571,0.58373,12.22870177,1.81154,0.04144
47.43881252,12.26339,0.01197,9.121526863,1.48087,0.01704
30.38173658,10.15166,0.245,5.448406496,0.99075,-0.17342
14.90071653,5.74047,0.33658,4.809770198,1.50528,-0.38879
25.66606943,3.59352,0.36824,6.002646067,0.5292,-0.02645
33.36307703,9.55523,0.86627,8.315783455,0.91947,-0.04408
10.18182664,1.19161,0.77047,9.112128616,1.12558,-0.1629
9.423804818,1.19161,0.77047,9.499261979,1.27206,-0.1665
32.21732012,7.80727,-3.10596,8.92326857,1.11788,-0.00834
44.74638048,9.90817,-0.15569,10.17249745,1.05199,0.01026
23.57954049,6.22183,-0.30369,8.75180136,1.44033,0.06812
32.03939564,5.88018,0.37141,12.74815293,1.42681,-0.01474
23.18666291,2.79622,-0.98303,8.509863551,1.61875,-0.06954
27.99127892,5.14372,-0.42583,8.241755891,0.93172,-0.10224
32.96016717,8.68504,1.02608,10.55505301,1.61217,-0.01217
27.49666695,7.21109,0.42685,8.174087146,1.34684,-0.21534
6.892350686,0.11421,-0.28914,3.453615187,0.50702,-0.76293
24.79674493,5.02004,0.22872,10.39528553,1.39802,0.20065
21.8008189,7.11631,-0.07747,7.366760727,0.82834,-0.13725
21.67043296,6.91923,-0.49362,6.522973281,0.90023,-0.29168
29.09529689,7.18161,-0.03914,9.253578746,1.56828,-0.07423
17.8504128,1.55495,-0.63219,11.54773591,1.59777,-0.03351
21.39737753,8.03114,0.63406,4.790731566,0.00602,-0.00527
33.63366996,7.91415,0.59472,7.165497743,1.57863,-0.18731
30.67750415,5.61056,-1.40528,7.692386402,1.55656,-0.01657
